Date,Channel,Type,Amount
"2018 Aug 14, 15:57 PDT",PirateSoftware,Cheering,75 Bits
"2018 Aug 14, 15:57 PDT",PirateSoftware,Cheering,75 Bits
"2018 Aug 14, 15:57 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 14, 15:57 PDT",PirateSoftware,Cheering,125 Bits
"2018 Aug 14, 15:57 PDT",PirateSoftware,Cheering,100 Bits
"2018 Aug 14, 15:57 PDT",PirateSoftware,Cheering,100 Bits
"2018 Aug 14, 15:58 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 14, 15:58 PDT",PirateSoftware,Cheering,25 Bits
"2018 Aug 14, 16:02 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 14, 16:02 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 14, 16:02 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 14, 16:02 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 14, 16:02 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 14, 18:03 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 14, 18:24 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 15, 21:36 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 15, 21:37 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 15, 21:39 PDT",PirateSoftware,Cheering,13 Bits
"2018 Aug 17, 12:21 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 18, 22:50 PDT",PirateSoftware,Cheering,42 Bits
"2018 Aug 19, 19:24 PDT",PirateSoftware,Cheering,100 Bits
"2018 Aug 19, 19:24 PDT",PirateSoftware,Cheering,100 Bits
"2018 Aug 19, 19:29 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 19, 19:31 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 20, 12:19 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 20, 22:39 PDT",PirateSoftware,Cheering,100 Bits
"2018 Aug 20, 22:40 PDT",PirateSoftware,Cheering,"1,000 Bits"
"2018 Aug 25, 14:16 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 14:20 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 14:20 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 14:21 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 14:22 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 14:42 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 14:46 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 14:47 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 14:56 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 14:58 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 14:58 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 15:00 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 15:08 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 15:12 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 15:13 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 15:13 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 16:39 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 17:44 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:10 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:24 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:24 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:25 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:27 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:35 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:38 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:39 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:39 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:40 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:40 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:41 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 20:57 PDT",PirateSoftware,Cheering,50 Bits
"2018 Aug 25, 21:20 PDT",PirateSoftware,Cheering,30 Bits
"2018 Aug 25, 21:21 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 25, 21:23 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 25, 21:25 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 26, 20:09 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 26, 20:10 PDT",PirateSoftware,Cheering,1 Bit
"2018 Aug 26, 20:12 PDT",PirateSoftware,Cheering,10 Bits
"2018 Aug 27, 16:54 PDT",PirateSoftware,Cheering,10 Bits
"2018 Aug 28, 14:36 PDT",PirateSoftware,Cheering,5 Bits
"2018 Aug 30, 21:33 PDT",PirateSoftware,Cheering,21 Bits
"2018 Aug 30, 21:34 PDT",PirateSoftware,Cheering,3 Bits
"2018 Aug 30, 22:05 PDT",PirateSoftware,Cheering,2 Bits
"2018 Aug 31, 21:56 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 2, 12:44 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 2, 14:14 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 2, 16:50 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 2, 18:06 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 2, 18:06 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 2, 18:48 PDT",PirateSoftware,Cheering,50 Bits
"2018 Sep 2, 21:11 PDT",PirateSoftware,Cheering,50 Bits
